ct,name,class,z,N_HI,flag,Q,L_UV,SI_UV,n_rad,fit,L_21,TO,SI,L_21ssd,TOssd,thick,thin
533,WISEJ202206.68+613658.8,G,0.227,17.44,non,,17.085,0.4168123631582757,38,2,,9.7,,,9.917,0.506,-0.719
534,DA529,G,0.355,18.86,det,,,,13,2,,9.31,,,9.575,0.511,-1.131
535,4C+05.78,G,1.381,18.16,non,,,,10,2,,8.93,,,8.868,1.14,-0.989
536,PKS2121-01,Q,1.158,16.97,non,,,,11,1,,8.354,-0.853,,,,
537,3C433,G,0.1016,18.36,det,,16.39,0.5693563069253147,40,1,,-0.514,-0.828,,,,
538,[HB89]2126-158,Q,3.268,18.86,non,58.12,24.862,-0.8342711907093707,25,2,,10.4,,,10.238,1.226,-0.596
539,PKS2127+04,G,0.99,18.32,non,54.573,21.279,-0.7656029772132585,30,2,,9.19,,,9.387,0.608,-0.897
540,[HB89]2128-123,Q,0.501,17.77,non,56.359,23.17,-0.9753558137657871,34,1,,8.784,0.041,,,,
541,[HB89]2135-147,Q,0.22,18.71,non,55.523,22.392,-1.1172318536788526,22,1,,5.392,-0.917,,,,
542,PKS2135-20,G,0.63634,18.05,non,52.785,19.05,-0.27823328993345836,19,1,,7.488,-0.644,,,,
543,[HB89]2140-048,Q,0.344,18.15,non,55.913,22.784,-1.119498907645433,11,1,,2.274,-0.368,,,,
544,[HB89]2145+067,Q,0.99,17.83,non,57.203,24.005,-0.9578408964305735,49,1,,8.94,0.082,,,,
545,WISEAJ214711.37+012833.3,G,0.88111,17.87,non,,,,3,1,,3.011,-0.812,,,,
546,PKS2149+056,G,0.74,18.38,non,,,,23,2,,9.85,,,9.66,1.145,-0.651
547,MRC2156-245,Q,0.862,18.73,det,,,,6,1,,7.604,-0.741,,,,
548,[HB89]2155-152,Q,0.672,17.63,non,55.687,22.471,-0.9157519274289249,32,1,,13.575,-0.11,,,,
549,MRC2201-272,G,0.93,18.16,non,,,,5,1,,4.703,-0.789,,,,
550,[HB89]2201+315,Q,0.295,17.68,non,55.96,22.848,-1.1646375051074285,30,1,,9.578,-0.023,,,,
551,SDSSJ221029.66+010843.7,G,0.744365,17.8,non,54.512,21.423,-1.227565086377522,0,0,,,,,,,
552,MRC2213-283,Q,0.948,18.44,non,,,,7,1,,-1.026,-0.986,,,,
553,PKS2215+02,Q,3.572,17.57,non,56.688,23.535,-1.059206675607659,10,1,,11.478,-0.396,,,,
554,[HB89]2216-038,Q,0.901,18.08,non,56.591,23.501,-1.225945615855193,34,1,,9.883,-0.078,,,,
